"Name","Year","Directors","Producers","Actors"
"Wicked Spring","2002","Kevin R. Hershberger","DJ Perry","Aaron Jackson, DJ Perry, Lindsey Ingram, Anthony Hornus, Mark Lacy, Rebecca Lawlor, Brian Merrick, Terry Jernigan"
"The Headless Horseman","1922","Edward D. Venturini","Carl Stearns Clancy","Will Rogers, Lois Meredith, Ben Hendricks Jr., Charles Graham, Mary Foy, Bernard A. Reinold, Downing Clarke, Jerry Devine, James Sheridan, Kay MacCausland, Nancy Chase"
"Red Dragon","2002","Brett Ratner","Dino De Laurentiis, Martha De Laurentiis","Edward Norton, Anthony Hopkins, Ralph Fiennes, Harvey Keitel, Emily Watson, Philip Seymour Hoffman, Mary-Louise Parker, Anthony Heald, Frankie Faison, Ken Leung, Tyler Patrick Jones, Tim Wheater, Lalo Schifrin, Brenda Strong, David Doty, John Rubinstein, Mary Anne McGarry, Robert Curtis Brown, Marc Abraham, Veronica De Laurentiis, Katie Rich, Cliff Dorfman, Phillip B. Fahey, Bill Duke, Michael Cavanaugh, Madison Mason, Alex Berliner, Tom Verica, Marguerite MacIntyre, Thomas Curtis, Jordan Gruber, Morgan Gruber, Richard Pelzman, Azura Skye, Andreana Weiner, William Lucking, Elizabeth Dennehy, Stanley Anderson, Joseph Simmons, Terence Rowley, Gianni Russo, Al Brown, Edward Nickerson, Anthony Reynolds, Jeanine Jackson, Mark Moses, Kyra Helfrich, Frank Bruynbroek, Dwier Brown, Grace Stephens, Lucy Stephens, Kevin Bashor, Christopher Curry, Tanya Newbould, Conrad E. Palmisano, Frank Langella, Markus Alexander, Sho Brown, Ellen Burstyn, Robert Randolph Caton, Norman Fessler, Lisa Haley, Mary Beth Hurt, Aaron Michael Lacey, Paul Majors, Patty Malcolm, Lisa Thornhill, Frank Whaley, Hillary Straney, Alex D. Linz"
"Olympia","1930","Jacques Feyder","","Annemarie Frey, Theo Shall, Nora Gregor, Arnold Korff, Hans Junkermann, Julia Serda, Karl Etlinger"
"Slander","1957","Roy Rowland","","Steve Cochran, Marjorie Rambeau, Ann Blyth"
"The Adventures of Huck Finn","1993","Stephen Sommers","Laurence Mark","Elijah Wood, Courtney B. Vance, Ron Perlman, Robbie Coltrane, Jason Robards Jr., Anne Heche, Curtis Armstrong, Dana Ivey, Frances Conroy, Tom Aldredge, James Gammon, Mary Louise Wilson, Renee O'Connor, Paxton Whitehead, Laura Bell Bundy, Dan Tamberelli, Mickey Cassidy, Alex Zuckerman, Marion Zinser, Leon Russom, Garette Ratliff Henson, Richard Anders, Janet Shea, Dion Anderson, Paul Kropfl, John Henry Scott, Ben Scott, Gary Lee Davis, Mike Watson, Hoskins Deterly, Cam Clarke, Mark Allen Branson, Denman Anderson, Elaine Fjellman, Jay R. Unger, Russell Paul Parkerson, Kimberly Latrice Hall, Paul Dewees, Evelyn B. Bunch, Kevin Young"
"Red Wing","2013","Will Wallace","Mark Rickard, Will Wallace, Patricia L. Carpenter","Bill Paxton, Luke Perry, Frances Fisher, Joelle Carter, Glen Powell, Lucas Adams, Will Wallace, Jaime Gallagher, Aidan J. Alexander, Breann Johnson, Niki Koss, Dylan Saccoccio, Oryan Landa, Andrew Fognani, Robert Johnson"
"Long Road Home","1991","John Korty","","Lee Purcell"
"How to Train Your Dragon","2010","Chris Sanders, Dean DeBlois","Bonnie Arnold","Christopher Mintz-Plasse, Jonah Hill, Jay Baruchel, America Ferrera, Gerard Butler, Craig Ferguson, T. J. Miller, Kieron Elliott, Kristen Wiig, Robin Atkin Downes, Ashley Jensen, Philip McGrade, David Tennant"
"Trade Winds","1938","Tay Garnett","Tay Garnett","Joan Bennett, Fredric March, Thomas Mitchell, Ralph Bellamy, Ann Sothern, Sidney Blackmer, Robert Elliot, Joyce Compton, Richard Tucker, Dorothy Comingore"
"The Deadly Tower","1975","Jerry Jameson","","Kurt Russell"
"Tsuyako","2011","Mitsuyo Miyazaki","Mitsuyo Miyazaki, Jacob Halajian, Tomoya Suzuki","Sachiko Katsumata, Miho Fujima, Shinji Ozeki, Sonoe Mizoguchi, Sora Urata, Nanami Ishida, Itoko Tsuji, Hirata Minoru, Lin Matsukawa, Yuki Hamada, Yuki Kimura, Chieko Ichikawa, Kurando Matsumura, Chizuko Hazama, Yuji Ueno"
"Panic in Echo Park","1977","John Llewellyn Moxey","","Jane Elliot, Dorian Harewood, Ramon Bieri, Robin Gammell"
"Fever","1991","Larry Elikann","Nick Gillott","Sam Neill, Armand Assante, John Achorn, Joe Spano, John Dennis Johnston, Steve Rankin, Mark Boone Junior, Jon Gries, Tim Ransom, Gordon Clapp, Gregg Henry, Marcia Gay Harden, Francesca Buller, John Capodice, Rainbow Harvest"
"Grassroots","2012","Stephen Gyllenhaal","Peggy Rajski, Michael Huffington, Brent Stiefel, Peggy Case, Matthew Brady","Jason Biggs, Lauren Ambrose, Cobie Smulders, Tom Arnold, Christopher McDonald, Emily Bergl, DC Pierson, Todd Stashwick, Basil Harris, Michael Nardelli, Russell Hodgkinson, Noah Harpster, Frank Buxton, Joel David Moore, Cedric the Entertainer, Lance Rosen, Rachel Pate, Tom Ricciardelli, Rodney Sherwood, Anthony L. Fuller Jr., Garr Godfrey, Claire Vardiel, Talena Bennett, Todd Licea, Steve Pool, Amy Frear, Brent Stiefel, Erin Mayovsky, Imogen Love, John Misner, Dave Beresford, Sarah Harlett, M.J. Sieber, Joe Mandragona, Brennan Murphy, Nik Doner, Barbara Deering, Sarah Dunne, Ian Bell, John Ulman, Carolyn Crabtree, Branden Romans, Sean Nelson, Connie Thompson, Lauren Guity, Charles-Henri Avelange, Dre Bvong, Chad Clarkson, Jay Wesley Cochran, S. Joe Downing, Tara Frieszell, Julian Gavilanes, Vanessa Mills, Brandon Murray, Giang Nguyen, William Pontius, Robert Puntenney, Sherie Suter, Jake Thach, Megan Elizabeth Wescott, Brooke Michelle Wied, Sara Lynne Wright, Aaron Zeichner, Jordan Zeichner, Benjamin Verdoes, Drew Fitchette, Marshall Verdoes, Jared Price"
"Fortune House","2013","Matthew Bonifacio, Fortune House","Julianna Gelinas, Bob Linton, Amber LaFrance, Matthew Bonifacio","Dewey Wynn, Nick Maccarone, Min-wen Huang, Michael Aronov, Yuki Shibamoto"
"Sirens","1999","John Sacret Young","","Justin Theroux, Dana Delany"
"NO MERCY","2008","Jose Antonio Carreon","Joel Nuñez, Elizabeth Romagnoli","Leslie Villegas, Pedro Sicard, Roger Casco, Humberto Moreno, Milton Mora, Olinka Murillo, Martin Hernandez, Ignacio Armenta, Daisy Granados"
"Forged Passport","1939","John H. Auer","","June Lang"
"The 300 Spartans","1962","Rudolph Maté","Rudolph Maté, George St. George","Ralph Richardson, Diane Baker, Richard Egan, David Farrar, Barry Coe, Laurence Naismith, John Crawford, Donald Houston, Kieron Moore, Robert Brown, Anna Synodinou"
"Tess and Nana","2008","M. Stewart Thorndike","Jill Silberstein, Lucas Joaquin","Celia Howard, Emory Cohen, Emma Angeline, Maggie Moore, Al Twanmo"
"Last Night","2007","Brad Armstrong","","Stormy Daniels, August, Brooke Haven, Katie Morgan, Aurora Snow, Gianna Lynn, Jada Fire, Brad Armstrong, Randy Spears, Marcus London, Derrick Pierce, Barrett Blade, Jay Ashley"
"Proxy Husband","1919","William Garwood","","Violet Mersereau, Harry Carter, Joseph Granby, William Garwood, Leonora von Ottinger"
"The Miller's Daughter","1905","Edwin S. Porter, Wallace McCutcheon Sr.","",""
"Hide In Plain Sight","1980","James Caan","Robert W. Christiansen, Rick Rosenberg","James Caan, Jill Eikenberry, Robert Viharo, Joe Grifasi, Barbra Rae, Kenneth McMillan, Josef Sommer, Danny Aiello, Thomas Hill, Chuck Hicks, Andy Fenwick, Heather Bicknell, David Clennon, Peter Maloney, Ken Sylk"
"The Notorious Mr. Monks","1958","Joseph Kane","","Lyle Talbot, Paul Fix"
"Naughty Marietta","1935","Robert Z. Leonard, W. S. Van Dyke","W. S. Van Dyke, Hunt Stromberg","Nelson Eddy, Elsa Lanchester, Jeanette MacDonald, Douglass Dumbrille, Harold Huber, Zari Elmassian, Charles Bruins, Ed Brady, Joseph Cawthorn, Arthur Belasco, Jane Barnes, Walter Kingsford, William Burress, Ralph Brooks, Edward Brophy, Greta Meyer, Akim Tamiroff, Frank Morgan, Cecilia Parker, Margaret Bloodgood"
"The Five Forty-Eight","1979","James Ivory","","Mary Beth Hurt, Laurence Luckinbill, Laurinda Barrett"
"Thursday's Child","1983","David Lowell Rich","","Don Murray, Rob Lowe, Heidi Bohay, Gena Rowlands, Jessica Walter, Larry Poindexter, Alan Fudge, Robin Gammell, Tracey Gold, Thomas Hill, Glenn Morrissey, Stephen Keep, Elizabeth Keifer, Ken Stovitz, Curt Lowens"
"Before Dawn","1933","Irving Pichel","","Dorothy Wilson"
"Nomads","0000","","","Lucy Liu"
"The New York Peacock","1917","Kenean Buel","William Fox","Valeska Suratt"
"Behind the Make-Up","0000","Dorothy Arzner","Monta Bell","William Powell, Fay Wray"
"Surviving Gilligan's Island","2001","Paul A. Kaufman","","Kristen Dalton, Bob Denver, Dawn Wells, Russell Johnson"
"The Big Gamble","1961","Richard Fleischer, Elmo Williams","Darryl F. Zanuck","Stephen Boyd, Juliette Gréco, David Wayne, Gregory Ratoff, Sybil Thorndike, Fernand Ledoux, Marie Kean, Harold Goldblatt, Maureen O'Dea, J. G. Devlin, Philip O'Flynn, Fergal Stanley, Jess Hahn, Alain Saury, Jacques Marin"
"The Zoo Gang","1985","John Watson, Pen Densham","Pen Densham, John Watson","Jackie Earle Haley, Jason Gedrick, Tiffany Helm, Robert Jayne, Marc Price, Gina Battist, Ben Vereen, Ramon Bieri, Darwyn Swalve, Eric Gurry, Glen Mauro, Gary Mauro, Ty Hardin, Tiny Wells, Ramon Chavez"
"Mozlym","2008","Edreace Purmul","A. Halim Mostafa","Nasir N. Pasha, Justin Doyle, Usman Khan Ibn Farooq, Kris Bek, Pin Young, Donovan Smith, Mike Burnell, Shannon McKanna"
"Abduction of Innocence","1996","James A. Contner","","Katie Wright, Dirk Benedict, Lucie Arnaz"
"Nazi Hunter: The Beate Klarsfeld Story","1986","Michael Lindsay-Hogg","","Catherine Allégret, Farrah Fawcett, Tom Conti, Geraldine Page"
"I Want to Live","1983","David Lowell Rich","","Lindsay Wagner"
"Silent House","2011","Chris Kentis, Laura Lau","Laura Lau, Agnès Mentre","Elizabeth Olsen, Julia Taylor Ross, Adam Trese, Eric Sheffer Stevens, Haley Murphy, Adam Barnett"
"The Assisi Underground","0000","Alexander Ramati","","Ben Cross"
"Turn Back the Clock","1989","Larry Elikann","","David Dukes, Connie Sellecca"
"Paper Man","1971","Walter Grauman","Richard N. Gladstein","Tina Chen, James Stacy, Dean Stockwell, Stefanie Powers"
"Anesthesia","2014","Tim Blake Nelson","","Kristen Stewart"
"Blackwell's Island","1939","William C. McGann","","Dick Purcell, John Garfield"
"A Man Betrayed","1936","John H. Auer","Nat Levine","Edward Nugent, Kay Hughes, Lloyd Hughes, John Wray, Edwin Maxwell, Theodore von Eltz, Thomas E. Jackson, William Newell, Smiley Burnette, Christine Maple, John Hamilton, Ralf Harolde, Grace Durkin, Carleton Young, Mary Bovard"
"Hard to Kill","1990","Bruce Malmuth","Bill Todman Jr., Joel Simon, Gary Adelson","Kelly LeBrock, Steven Seagal, William Sadler, Frederick Coffin, Branscombe Richmond, Lou Beatty Jr., Nick DeMauro, Bonnie Burroughs, Andrew Bloch, Charles Boswell"
"The Return of Joe Rich","2011","Sam Auster","Marol Butcher, Robert Bernacchi","Samuel Witwer, Rene Mathews, Armand Assante, Vanessa Vander Pluym, Rich Komenich, Sorin Brouwers, Tim Kazurinsky, Jacob Alexander, Joe Minoso, Talia Shire, Erick Juarez, Julia Sobaski, Chris Meister, Greg Silva, Michael Witwer"
"Our House","2006","","","Judy Reyes, Doris Roberts, Ellen Geer"
"Sandcastles","2004","Filip Jan Rymsza","Filip Jan Rymsza, John Yaworsky","Wesley Walker, Jennifer Ohlinger, John Lordan, Paul Sass, Chris Agos, Jim Staples, Linara Washington, Karen Aldridge, Elizabeth Isibue, Mike Evans"
"No Limits","2003","Nic Andrews","","Jesse Jane"
"Snow Treasure","1968","Irving Jacoby","Irving Jacoby","Paul Austad, Tina Austad, Wilfred Breistrand, James Franciscus, Randi Kolstad"
"Atlas","1961","Roger Corman","Roger Corman","Michael Forest, Andreas Filippides, Frank Wolff, Miranda Kounelaki, Theodoros Dimitriou, Christos Exarchos, Barboura Morris, Walter Maslow, James Carleton, Roger Corman, Sascha Dario, Charles B. Griffith, Robert Hudson, William Jolley, Dick Miller"
"Pretty/Handsome","2008","Ryan Murphy","","Joseph Fiennes, Christopher Egan, Niecy Nash, Mike O'Malley"
"Behind the Candelabra","2013","Steven Soderbergh","Gregory Jacobs, Susan Ekins, Michael Polaire","Matt Damon, Scott Bakula, Michael Douglas, Rob Lowe, Dan Aykroyd, Debbie Reynolds, Tom Papa, Nicky Katt, Cheyenne Jackson, Paul Reiser, Boyd Holbrook, David Koechner, Eric Zuckerman, Bruce Ramsay, Mike O'Malley"
"Dr. Christian Meets the Women","1940","William C. McGann","William Stephens","Edgar Kennedy, Jean Hersholt, Rod La Rocque, Frank Albertson, Dorothy Lovett, Lynn Merrick, Maude Eburne, Veda Ann Borg, Lelah Tyler, William Gould"
"Les Vulnerables","2007","Bent-Jorgen Perlmutt","Valentina Canavesio, Bent-Jorgen Perlmutt, Nelson Walker III","Stewart Lunanga, Freddy Makondo, Benjamin Maneno, Pascal Bashombana"
"Redemption Trail","2013","Britta H. Sjogren","Britta H. Sjogren, Soumyaa Kapil","Lily Rabe, Lisa Gay Hamilton, Jake Weber, Hamish Linklater, Beth Lisick, Asta Sjogren-Uyehara, Juliette Stubbs, Edlin Chavez, Stephanie Diaz, Byron James, Andy Lopez, Brooklyn Molden, Felicia Stiles"
"Blindsided","0000","Thomas Michael Donnelly","","Mia Sara, Jeff Fahey"
"Way Out West","1930","Fred Niblo","","Francis X. Bushman Jr., Charles Middleton, Cliff Edwards, Jay Wilsey, Jack Pennick, Polly Moran, William Haines, Buddy Roosevelt, Vera Marshe, Leila Hyams"
"Lonely Love","2009","Raymond Wood","","Jus Riddick, Melissa Lowe, Jeremy Harrison, Kent Igleheart, Aaron Thomas, Mykah Adams, Ken R. Wheeler, Randall Blizzard, Courtney Amis, Kenneth L. Zirkman, Nathaniel Ryan, Sherricka L. White, Mary Ellen Itson, Brittany Susko, Frances Cobb"
"Hello I Must Be Going","2012","Todd Louiso","Mary Jane Skalski, Hans Ritter","Melanie Lynskey, Blythe Danner, Christopher Abbott, John Rubinstein, Julie White, Dan Futterman, Sara Chase, Andrea Bordeaux, Dave T. Koenig, Tori Feinstein, Andreina Sosa-Keifer, Jimmi Simpson, Meera Simhan, Eli Koskoff, Greta Lee, Damian Young, Daniel Eric Gold, Kate Arrington, Darcy Hicks"
"Brussels","2010","Omar Zuniga","John Ryan Johnson, Jonas Carpignano","Oliver Smith, Michael Douglass, Alexis Gambis"
"Cry Macho","2012","Brad Furman","Bill Block, Albert S. Ruddy","Arnold Schwarzenegger"
"The Marilyn Diaries","1990","Ernest G. Sauer","","Tara Buckman, Marilyn Chambers"
"The Ignorant Bliss of Sun and Moon","2008","John Hyams","Bill Gullo","Scott Sowers"
"Act of Love","1953","Anatole Litvak","","Dany Robin, Kirk Douglas, Brigitte Bardot"
"Caged In Paradiso","1990","Mike Snyder","John G. Thomas","Irene Cara, Big John Studd, Wolf Muser, Laurence Haddon, Peter Kowanko, Paula Bond, Joseph Culp, David Dunard, Beverly Purcell, Gill Burrell"
"Wildflower","1914","Allan Dwan","Daniel Frohman, Adolph Zukor","Jack Pickford, Marguerite Clark, Harold Lockwood, James Cooley, Edgar L. Davenport"
"Dusk","2008","Gary Alazraki","Guillermo Arriaga, Lucas Akoskin","Iliana Fox, Jose Maria Yazpik"
"Recreator","2010","Gregory Orr","","Stella Maeve, Jamal Mallory-McCree, Laura Moss, John de Lancie"
"Bones","2010","","","Jimmy Bennett, Melissa Ordway, Zakk Wylde, Andrew Lawrence"
"The Purple Lily","1918","Fred Kelsey","","Howard Kyle"
"Christmas Wafer","2010","Rasa Aliukonyte","","Sandra Giedraitiene, Agne Giedraityte, Raimonda Klimaite, Robertas Kuzmarskis, Katie Lanigan, Jerrica Martin, Elena Miciulis, Feliksas Miciulis, Ramunas Paulauskas, Vilma Steponaviciene, Antanas Steponavicius, Vidmantas Strizigauskas"
"Blue Jasmine","2013","Woody Allen","Letty Aronson, Stephen Tenenbaum, Edward Walson","Cate Blanchett, Alden Ehrenreich, Alec Baldwin, Peter Sarsgaard, Bobby Cannavale, Michael Stuhlbarg, Louis C.K., Sally Hawkins, Max Casella, Charlie Tahan, Andrew Dice Clay, Tammy Blanchard, Vanessa Ross, Vanessa Ross, Steven Wiig, Keenan Johnston"
"Smooth as Silk","1946","Charles Barton","","Milburn Stone, Virginia Grey, Kent Taylor"
"Reason for Living: The Jill Ireland Story","1991","Michael Ray Rhodes","","Neill Barry, Lance Henriksen"
"Moviola: The Silent Lovers","1980","John Erman","","Mackenzie Phillips"
"The Victim","1916","Will S. Davis","William Fox","Valeska Suratt"
"Roots of Evil","0000","","","Charles Dierkop, Alex Cord, Deanna Lund"
"Outrage","1973","Richard T. Heffron","","Billy Redden"
"Laurel Avenue","1993","Carl Franklin","","Malinda Williams"
"All in All","2011","Charlie Reff, Jacki Sextro","Trevor Funk","Andrea Rosenthal, Ki-Hong Lee, Pamela Walworth, Mark Schroeder, Kurt Collins, Valerie Brandy, Jessica Whitaker, Sarah Lackie"
"Lady Blue","1985","Gary Nelson","","John Mahoney"
"Death Without Consent","2007","Vera Chawla","","Pawel Szajda, Chad Doreck, Sean Hagan, Leo Erickson, Ralph Cosham, Michael Gabel, Ryan Sands, Phillip Reid, Nina Merchant, Sonya Vaswani, Jeff Baker"
"Revolution","2012","Abdi Nazemian","Abdi Nazemian, Erica Kraus","Mojean Aria, Sunday Burke, Zach Cümer, David Diaan, Lisa Goodman, Busy Philipps, Sheila Vosough"
"A Bitter Pill","2012","Dijon Hawkins","Deondray Gossett","Jermel Nakia, Shaka Walker, Karen Malina White"
"The Journey","1959","Anatole Litvak","","Yul Brynner, Deborah Kerr, Jason Robards Jr., Ron Howard, E. G. Marshall, Kurt Kasznar, Gérard Oury"
"Foster and Laurie","1975","John Llewellyn Moxey","","James Woods"
"Love, Lots of It","2011","Rob Feld","Rob Feld, Craig Lifschutz","Campbell Scott, Kathleen McElfresh, McCaleb Burnett"
"Prison Stories: Women on the Inside","1991","Joan Micklin Silver, Penelope Spheeris, Donna Deitch","","Annabella Sciorra, Talisa Soto"
"Throat: A Cautionary Tale","2009","Paul Thomas","","Lee Stone"
"The Love Racket","1929","William A. Seiter","","Dorothy Mackaill"
"The Sun Also Rises","1984","James Goldstone","","Leonard Nimoy"
"Fairhaven","2012","Tom O'Brien","Massoumeh Emami, Tom O'Brien","Chris Messina, Rich Sommer, Sarah Paulson, Alexie Gilmore, Maryann Plunkett, Natalie Gold, Ted Reinstein, Tom O'Brien, Phyllis Kay, Danielle Muehlen, Georgia Lyman, George J. Vezina, Tim Haber, John Soares, Paul O'Brien, Grace Collins, Dennis O'Neill, Tommy Burke, Alicia Racine, Eileen Waxler, Dana Collyer, Roger Haber, Donna O'Brien, Maureen Vlaco, Steve Perry"
"The Young Lions","1958","Edward Dmytryk","Al Lichtman","Montgomery Clift, Maximilian Schell, Hope Lange, Marlon Brando, Dean Martin, May Britt, Hope Lange, Lee Van Cleef, Barbara Rush"
"Arena","1953","Richard Fleischer","","Gig Young, Harry Morgan"
"Almost In Love","2011","Sam Neave","Michaela McKee, Douglas Glickman","Marjan Neshat, Alex Karpovsky, Gary Wilmes, Alan Cumming, Darrill Rosen, Katherine Waterston, Adam Rapp, Dana Acheson, Rabeah Ghaffari, Gretchen Hall"
"The Cure","2011","Dylan Murphy","","Dominic Cooper"
"Devil Take Us","1952","Herbert Morgan","Herbert Morgan","Del Kuhn"
"Knock 'Em Dead, Kid","2009","Christopher L. Golon","Gale DiMauro, Christopher L. Golon, James A. Golon Jr., Bryant Pearson Jr., Kate Rolka","Dirk Julian, Michael Resendez, Torey Marks, Erin Prieto, Chad Post, Angela Nordeng, Andrew Chase, Cody Cowell, Les Mahoney, Al Burke"
"The Graduates of Malibu High","1983","Lawrence D. Foldes","Victoria Paige Meyerink","Anne Lockhart, Ernest Borgnine, Lynda Day George, James Van Patten, Richard Roundtree, Ed De Stefane, Mike Norris, Dick Shawn, Tom Reilly, John Alden, Britt Helfer, Linnea Quigley, Nels Van Patten, Don Hepner, April Dawn"
"The Wind","2001","Michael Mongillo","","Philipp Karner, Davis Mikaels, James Thalman, Scott Parrish, Joanna Bonaro, Carolyn Camburn, Zeke Rippy"
"Call Me","1988","Sollace Mitchell","John E. Quill, Kenneth F. Martel","Steve Buscemi, Patricia Charbonneau, Stephen McHattie, Boyd Gaines, Sam Freed, Kevin Harris, David Strathairn, John Seitz, Gy Mirano, George Gerdes, Patti D'Arbanville, Aleksander Krupa, Ernest Abuba, Pi Douglass"
"Nothing Special","2010","Angela Garcia Combs","","Thom Cammer"
"Rob the Mob","2014","Raymond De Felitta","William Teitler","Michael Pitt, Andy García, Frank Whaley, Cathy Moriarty, Ray Romano, Griffin Dunne, Yul Vazquez, Samira Wiley, Burt Young, Aida Turturro, Michael Rispoli, Aimee Mullins, Joseph R. Gannascoli, Maria Di Angelis, Nina Arianda"
"Together","1971","Sean S. Cunningham","Sean S. Cunningham, Stephen Minasian","Marilyn Chambers, Maureen Cousins, Jade Hagen, Kimi Hoelter, Victor Mohica, Jan Pieter Welt"
"The Day the Laughter Stopped","2012","Barry Levinson","","Eric Stonestreet"
"Adaline","2015","Lee Toland Krieger","Steve Golin, Alix Madigan, Tom Rosenberg, Gary Lucchesi, Sidney Kimmel","Angela Lansbury, Harrison Ford"
"The Dirty Ones","2009","Brent Stewart","Charles-Marie Anthonioz","Raven Dunn, Margaret Stewart, John Ranieri, Zamvel Oyvetsky, Rachel Korine"
